policy_year,count,revenue,industry,state,employees,average_employee_age,multinational,risk_score
2020,0,223581,General Commercial,PA,27,20,0,3
2015,0,161853,General Commercial,AZ,6,38,0,4
2017,0,1144100,General Commercial,PA,121,28,0,NA
2018,2,2431861,General Commercial,FL,128,22,0,NA
2013,0,559609,General Commercial,NC,105,29,0,NA
2013,0,363092,General Commercial,FL,13,39,0,4
2020,0,181335,Financial Services,VA,13,18,0,NA
2014,0,259564,General Commercial,WA,13,21,0,NA
2021,0,3149120,Manufacturing,NY,541,16,1,NA
2019,0,1155912,General Commercial,CA,99,48,0,NA
2016,0,1117893,Manufacturing,NY,188,18,0,NA
2023,0,252476,General Commercial,WA,57,16,0,4
2022,0,4030975,General Commercial,NC,254,87,1,3
2022,0,2135463,Manufacturing,NY,214,37,0,5
2015,0,1348254,General Commercial,NJ,58,20,0,NA
2015,0,169040,Financial Services,NJ,25,30,0,NA
2018,0,1719253,General Commercial,CA,157,17,0,NA
2017,1,1328584,General Commercial,FL,260,98,0,3
2022,0,1886037,Financial Services,CA,55,16,0,NA
2021,0,132987,Manufacturing,VA,26,16,0,NA
2020,0,948674,General Commercial,FL,37,37,0,4
2021,0,804352,General Commercial,GA,119,18,0,1
2021,0,370704,General Commercial,PA,98,16,0,NA
2016,0,2740650,Manufacturing,OH,316,16,1,NA
2021,0,470727,Manufacturing,AZ,29,20,0,NA
2020,0,1178211,Manufacturing,PA,64,24,0,NA
2013,0,535331,Financial Services,NJ,22,27,0,2
2021,1,1040502,General Commercial,MI,198,16,0,NA
2021,0,2057695,General Commercial,NY,264,41,0,2
2024,0,1070925,Manufacturing,PA,185,40,0,NA
2023,0,371941,General Commercial,VA,26,24,0,3
2017,0,2640172,Manufacturing,TX,255,24,1,NA
2014,0,294567,General Commercial,CA,36,48,0,3
2020,1,423670,General Commercial,NJ,56,22,0,3
2016,1,2099833,Financial Services,PA,156,45,0,NA
2022,0,1603068,Manufacturing,IL,184,17,0,3
2023,0,760286,General Commercial,GA,31,17,0,3
2016,0,1292043,Financial Services,NC,195,16,0,NA
2018,0,2091470,Manufacturing,FL,548,28,0,NA
2014,0,376672,General Commercial,WA,59,43,0,NA
2018,0,580578,General Commercial,PA,46,43,0,NA
2020,0,4228389,Financial Services,NJ,356,16,1,3
2024,0,818219,Financial Services,CA,68,35,0,NA
2021,0,1117338,General Commercial,IL,271,25,0,3
2019,2,2130920,General Commercial,CA,215,51,0,NA
2022,0,1431872,Financial Services,NY,90,21,0,4
2021,0,1235643,Manufacturing,NJ,116,46,0,2
2021,0,498138,General Commercial,NY,62,25,0,2
2016,0,1383876,General Commercial,FL,57,29,0,2
2021,0,1520285,Financial Services,TX,92,66,0,3
2020,0,2229116,Manufacturing,VA,196,16,0,NA
2018,0,3776761,Manufacturing,NY,686,17,1,3
2020,0,774481,General Commercial,TX,67,16,0,2
2016,0,665186,Manufacturing,WA,13,35,0,4
2021,0,2544464,Manufacturing,CA,154,43,1,2
2015,0,669139,Manufacturing,NC,154,16,0,NA
2022,0,127645,General Commercial,GA,14,22,0,NA
2019,1,724509,General Commercial,CA,65,20,0,4
2015,0,323546,Manufacturing,NY,43,22,0,3
2023,0,1618790,Manufacturing,NY,148,19,0,NA
2015,0,3664677,General Commercial,NC,1075,16,1,5
2021,0,263721,General Commercial,IL,26,16,0,NA
2016,0,1482976,General Commercial,CA,256,20,0,NA
2018,0,1634104,General Commercial,NY,193,25,0,1
2015,0,462700,Manufacturing,IL,69,19,0,NA
2019,0,2213641,Manufacturing,FL,94,24,0,4
2023,0,2013374,Manufacturing,FL,139,16,0,NA
2019,0,1316865,Oil/Gas,MA,100,36,0,NA
2016,0,1018816,Manufacturing,TX,248,26,0,NA
2017,1,1768669,General Commercial,CA,116,27,0,1
2018,0,961766,General Commercial,VA,56,35,0,NA
2016,0,1086648,General Commercial,PA,159,54,0,3
